路徑ID,路徑名稱,路程,站點,去程緯度,去程經度,首站到此站時間,站次,位置,狀態
1,市民小巴5(洽公直達線),去程,花蓮轉運站,23.993020,121.603219,0,1,花蓮縣花蓮市國聯一路98號,0
1,市民小巴5(洽公直達線),去程,花蓮縣動防所,23.992912,121.617817,5,2,花蓮縣花蓮市瑞美路5號,0
1,市民小巴5(洽公直達線),去程,花蓮縣稅務局,23.992744,121.619466,10,3,花蓮縣花蓮市府後路26號前,0
1,市民小巴5(洽公直達線),去程,花蓮縣政府 後門,23.991411,121.619984,15,4,花蓮縣花蓮市府後路15號,0
1,市民小巴5(洽公直達線),去程,花蓮縣地方法院,23.989522,121.619688,20,5,花蓮縣花蓮市府前路15號,0
1,市民小巴5(洽公直達線),去程,婦幼親創園區,23.988424,121.618438,25,6,花蓮縣花蓮市府後路2號,0
1,市民小巴5(洽公直達線),去程,花蓮縣衛生局,23.991812,121.616885,30,7,花蓮縣花蓮市新興路200號,0
1,市民小巴5(洽公直達線),去程,花蓮縣政府 正門,23.991411,121.619984,35,8,花蓮縣花蓮市國聯一路98號,0
1,市民小巴5(洽公直達線),回程,花蓮縣政府 正門,23.991411,121.619984,0,1,花蓮縣花蓮市府前路17號,0
1,市民小巴5(洽公直達線),回程,花蓮縣稅務局,23.992815,121.619477,5,2,花蓮縣花蓮市府後路26號前,0
1,市民小巴5(洽公直達線),回程,花蓮縣政府 後門,23.991411,121.619984,10,3,花蓮縣花蓮市府後路26號前,0
1,市民小巴5(洽公直達線),回程,婦幼親創園區,23.988424,121.618438,15,4,花蓮縣花蓮市府後路2號,0
1,市民小巴5(洽公直達線),回程,花蓮縣地方法院,23.989522,121.619688,20,5,花蓮縣花蓮市府前路15號,0
1,市民小巴5(洽公直達線),回程,花蓮縣衛生局,23.991812,121.616885,25,6,花蓮縣花蓮市新興路200號,0
1,市民小巴5(洽公直達線),回程,花蓮轉運站,23.993020,121.603219,30,7,花蓮縣花蓮市國聯一路98號,0
2,市民小巴6(醫療照護線),去程,花蓮轉運站,23.993020,121.603219,0,1,花蓮縣花蓮市國聯一路98號,0
2,市民小巴6(醫療照護線),去程,市民廣場,23.983500,121.607429,5,2,花蓮縣花蓮市明禮路101號,0
2,市民小巴6(醫療照護線),去程,明禮國小,23.980242,121.610008,10,3,花蓮縣花蓮市明禮路6號,0
