市民小巴5,,,,,,,,,,,,,,
,,00:11,00:01,00:03,00:03,00:05,00:05,00:28,,,,,,
去程,花蓮轉運站,花蓮縣稅務局,"花蓮縣政府
(後門)",花蓮地方法院,婦幼親創園區,花蓮縣衛生局,花蓮縣政府,,,,,,,
1,08:00,08:11,08:12,08:15,08:15,08:20,08:25,,,,,,,
2,08:40,08:51,08:52,08:55,08:55,09:00,09:05,,,,,,,
3,09:20,09:31,09:32,09:35,09:35,09:40,09:45,,,,,,,
4,10:40,10:51,10:52,10:55,10:55,11:00,11:05,,,,,,,
5,11:20,11:31,11:32,11:35,11:35,11:40,11:45,,,,,,,
6,13:20,13:31,13:32,13:35,13:35,13:40,13:45,,,,,,,
7,14:00,14:11,14:12,14:15,14:15,14:20,14:25,,,,,,,
8,14:50,15:01,15:02,15:05,15:05,15:10,15:15,,,,,,,
9,15:20,15:31,15:32,15:35,15:35,15:40,15:45,,,,,,,
10,16:40,16:51,16:52,16:55,16:55,17:00,17:05,,,,,,,
11,17:20,17:31,17:32,17:35,17:35,17:40,17:45,,,,,,,
,,,,,,,,,,,,,,
,,00:02,00:01,00:03,00:05,00:04,00:11,00:26,,,,,,
返程,花蓮縣政府,花蓮稅務局,"花蓮縣政府
(後門)",婦幼親創園區,花蓮地方法院,花蓮縣衛生局,花蓮轉運站,,,,,,,
1,08:20,08:22,08:23,08:26,08:31,08:35,08:46,,,,,,,
2,09:00,09:02,09:03,09:06,09:11,09:15,09:26,,,,,,,
3,09:40,09:42,09:43,09:46,09:51,09:55,10:06,,,,,,,
4,11:00,11:02,11:03,11:06,11:11,11:15,11:26,,,,,,,
5,11:40,11:42,11:43,11:46,11:51,11:55,12:06,,,,,,,
6,13:40,13:42,13:43,13:46,13:51,13:55,14:06,,,,,,,
7,14:20,14:22,14:23,14:26,14:31,14:35,14:46,,,,,,,
8,15:00,15:02,15:03,15:06,15:11,15:15,15:26,,,,,,,
9,15:40,15:42,15:43,15:46,15:51,15:55,16:06,,,,,,,
10,17:00,17:02,17:03,17:06,17:11,17:15,17:26,,,,,,,
11,17:40,17:42,17:43,17:46,17:51,17:55,18:06,,,,,,,
,,,,,,,,,,,,,,
市民小巴6 ,,,,,,,,,,,,,,
,,00:06,00:01,00:03,00:03,00:02,00:02,00:02,00:19,,,,,
去程,花蓮轉運站,市民廣場,明禮國小,"花蓮醫院
(慈愛大樓)",Kadda Hotel,煙波飯店-花蓮館,中美民權八街,門諾醫院,,,,,,
1,09:10,09:16,09:17,09:20,09:23,09:25,09:27,09:29,,,,,,
2,10:00,10:06,10:07,10:10,10:13,10:15,10:17,10:19,,,,,,
3,10:50,10:56,10:57,11:00,11:03,11:05,11:07,11:09,,,,,,
4,11:40,11:46,11:47,11:50,11:53,11:55,11:57,11:59,,,,,,
5,12:30,12:36,12:37,12:40,12:43,12:45,12:47,12:49,,,,,,
6,14:00,14:06,14:07,14:10,14:13,14:15,14:17,14:19,,,,,,
7,14:50,14:56,14:57,15:00,15:03,15:05,15:07,15:09,,,,,,
8,15:40,15:46,15:47,15:50,15:53,15:55,15:57,15:59,,,,,,
,,,,,,,,,,,,,,
,,00:02,00:02,00:02,00:03,00:03,00:01,00:06,00:19,,,,,
返程,門諾醫院,中美民權八街,煙波飯店-花蓮館,Kadda Hotel,"花蓮醫院
(慈愛大樓)",明禮國小,市民廣場,花蓮轉運站,,,,,,
1,09:35,09:37,09:39,09:41,09:44,09:47,09:48,09:54,,,,,,
2,10:25,10:27,10:29,10:31,10:34,10:37,10:38,10:44,,,,,,
3,11:15,11:17,11:19,11:21,11:24,11:27,11:28,11:34,,,,,,
4,12:05,12:07,12:09,12:11,12:14,12:17,12:18,12:24,,,,,,
5,12:55,12:57,12:59,13:01,13:04,13:07,13:08,13:14,,,,,,
6,14:25,14:27,14:29,14:31,14:34,14:37,14:38,14:44,,,,,,
7,15:15,15:17,15:19,15:21,15:24,15:27,15:28,15:34,,,,,,
8,16:05,16:07,16:09,16:11,16:14,16:17,16:18,16:24,,,,,,
,,,,,,,,,,,,,,
市民小巴7,,,,,,,,,,,,,,
,,00:01,00:03,00:02,00:08,00:02,00:02,00:01,00:02,00:03,00:04,00:06,00:01,00:35
平日班次,花蓮轉運站,勤天商旅,市立圖書館,麗星飯店,花蓮又一村文創園區,花蓮文創園區,日出大道1,日出大道2,東大門夜市,中華路,將軍府商圈,勤天商旅,花蓮轉運站,
1,17:45,17:46,17:49,17:51,17:59,18:01,18:03,18:04,18:06,18:09,18:13,18:19,18:20,
2,18:00,18:01,18:04,18:06,18:14,18:16,18:18,18:19,18:21,18:24,18:28,18:34,18:35,
3,18:20,18:21,18:24,18:26,18:34,18:36,18:38,18:39,18:41,18:44,18:48,18:54,18:55,
4,18:30,18:31,18:34,18:36,18:44,18:46,18:48,18:49,18:51,18:54,18:58,19:04,19:05,
5,18:50,18:51,18:54,18:56,19:04,19:06,19:08,19:09,19:11,19:14,19:18,19:24,19:25,
6,19:15,19:16,19:19,19:21,19:29,19:31,19:33,19:34,19:36,19:39,19:43,19:49,19:50,
7,19:30,19:31,19:34,19:36,19:44,19:46,19:48,19:49,19:51,19:54,19:58,20:04,20:05,
8,20:00,20:01,20:04,20:06,20:14,20:16,20:18,20:19,20:21,20:24,20:28,20:34,20:35,
9,20:30,20:31,20:34,20:36,20:44,20:46,20:48,20:49,20:51,20:54,20:58,21:04,21:05,
,,,,,,,,,,,,,,
假日班次,,,,,,,,,,,,,,
